"Current Procedural Terminology (CPT) codes, descriptions and other data only are copyright 2025 American Medical Association. All rights reserved. 

CPT® is a registered trademark of the American Medical Association.

Applicable FARS/DFARS Restrictions Apply to Government Use. 

Fee schedules, relative value units, conversion factors and/or related components are not assigned by the AMA, are not part of CPT, and the AMA is not recommending their use.  The AMA does not directly or indirectly practice medicine or dispense medical services.  The AMA assumes no liability for the data contained or not contained herein.",,,
"HCPCS/
CPT Code",Practitioner Services MUE Values,MUE Adjudication Indicator,MUE Rationale
0223U,1,3 Date of Service Edit: Clinical,Nature of Analyte
0224U,3,3 Date of Service Edit: Clinical,Nature of Analyte
0225U,1,3 Date of Service Edit: Clinical,Code Descriptor / CPT Instruction
0226U,1,3 Date of Service Edit: Clinical,Code Descriptor / CPT Instruction
0227U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0228U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0229U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0230U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0231U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0232T,1,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0232U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0233U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0234T,2,2 Date of Service Edit: Policy,Anatomic Consideration
0234U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0235T,2,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
0235U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0236T,1,2 Date of Service Edit: Policy,Anatomic Consideration
0236U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0237T,2,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
0237U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0238T,2,3 Date of Service Edit: Clinical,Clinical: Data
0238U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0239U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0242U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0243U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0244U,1,3 Date of Service Edit: Clinical,Nature of Analyte
0245U,2,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0247U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0248U,1,3 Date of Service Edit: Clinical,Nature of Analyte
0249U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0250U,1,3 Date of Service Edit: Clinical,Code Descriptor / CPT Instruction
0251U,1,3 Date of Service Edit: Clinical,Nature of Analyte
0252U,1,3 Date of Service Edit: Clinical,Nature of Analyte
0253T,1,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0253U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0254U,0,3 Date of Service Edit: Clinical,CMS Policy
0255U,0,3 Date of Service Edit: Clinical,CMS Policy
0256U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0257U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0258U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0259U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0260U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0261U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0262U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0263T,1,3 Date of Service Edit: Clinical,CMS Policy
0263U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0264T,1,3 Date of Service Edit: Clinical,CMS Policy
0264U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0265T,1,3 Date of Service Edit: Clinical,CMS Policy
0265U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0266U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0267U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
